Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,Modern Flames 100-in Spectrum Slimline Built-In Electric Fireplace,"The Modern Flames 100-in Spectrum Slimline Built-In Electric Fireplace is  quite the show stopper and not just by its size alone! The largest size from this completely new series from Modern Flames offers the option of either recessed within 2"" x 4"" walls or direct on-the-wall installations. With a stylish and sleek 5/8"" trim, this fireplace maximizes the overall viewing area of the LED lit flame effects without an over obstructive frame. The flames are a new technology called, Hybrid-FX which create a beautiful and lifelike artificial fire display. Additionally, you'll have 12 different color options to choose from , all of which, complement either the elegant glacier glass ember bed or stylish driftwood log set perfectly. <br><br>
The Spectrum series also features a fully integrated, thermostat enabled supplemental heater that is capable of warming spaces up to 400 Sq. Ft. in size.  This is the perfect way to keep the room you are in nice and comfortable, without the need to heat your entire house. A convenient multi-function remote control is also included, making operation of your fireplace, and all of its many features, a breeze from almost anywhere in your room.",Microskey,Home & Garden > Fireplaces,Built-In Electric Fireplaces,"badge:sale, best_seller, Built-In Electric Fireplaces, cabinet-style:Linear, color:Black, Colors:Black, depth:4.75, Flame Type:LED, flame:Modern Flames Hybrid-FX, Heat Type:Fan Forced, heating-range:Up to 400 sqft, height:17, installation:Wall, Location:Indoor, Marketplace, material:Metal, model:SPS-100B, Modern Flames, Mounting Type:Fully Recessed, Mounting Type:Surface Mount, mounting-options:Fully Recessed, mounting-options:Surface Mount, On Sale: Modern Flames Sale - Save 10%, pdp:modern-flames-spectrum-slimline, popular-searches:Best Seller, Power Source:Hard-Wired, pr_id:202309, preferred-category:Built-In Electric Fireplaces, product-grouping:Insert, product-grouping:RV, Room Placement:In-Wall, Room Placement:On-Wall, Shape:Linear, Shopping Category:Fireplace Inserts, Shopping Category:Fireplaces, Shopping Category:Wall Mount Fireplaces, Shopping Depth:5&quot; &amp; Under, Shopping Height:16&quot; - 20&quot;, Shopping Width:71&quot; &amp; Up, style:Contemporary, Styles:Contemporary, Styles:Modern, Volts:120 Volts, Wall Mount Electric Fireplaces, Width:100-inch, width:99.75, wiring:Direct-Wire, YGroup_modern-flames-spectrum-slimline",true,Title,Default Title,,,,,'202309,0.0,,0,deny,manual,299.00,,true,true,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/Spectrum-Slimline-SPS-100B-MZ.jpg?v=1667048750,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_e7b271e4-5a3b-48c4-9b82-27944911d4ce.jpg?v=1667048750,2,,,,,,,,,,,,,,,,,,,,,,,,
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_76504399-dc68-4179-b16c-f9ad6a06f849.jpg?v=1667048750,3,,,,,,,,,,,,,,,,,,,,,,,,
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_153eae22-0929-465a-aa21-16cf630cc492.jpg?v=1667048750,4,,,,,,,,,,,,,,,,,,,,,,,,
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_6038aaf2-5f6b-4e1d-921d-58151d68c168.jpg?v=1667048750,5,,,,,,,,,,,,,,,,,,,,,,,,
modern-flames-100-in-spectrum-slimline-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/Spectrum-Slimline-SPS-100B-LA.jpg?v=1667048750,6,,,,,,,,,,,,,,,,,,,,,,,,
hearthpro-36-in-convex-curved-wall-mount-electric-fireplace,HearthPro 36-In Convex Curved Wall Mount Electric Fireplace,"The HearthPro 36-In Convex Curved Wall Mount Electric Fireplace features a stylish, curved front design that is both modern and contemporary. Create a relaxing and peaceful visual experience with the addition of this unit to any room in your home. Capable of being wall mounted or used freestanding with the included base, the fireplace installs with ease and simply needs plugged into a standard wall outlet to begin enjoying the dazzling effects. The LED lit flame effects create just the right amount of ambient glow for your space and with 5 brightness settings, you'll be able to easily adjust to your preference.  
<br><br>
The integrated fan-forced heater produces 4600 BTUs of supplemental heat for warming areas up to 400 Sq. Ft. You can easily set the desired temperature and let the unit do the rest - the heater will cycle on and off as needed. Included with the unit is a multi-function remote control that conveniently allows you to operate the unit from virtually anywhere in your room. Other features include timer, child lock and safety thermal cut-off.",Microskey,Home & Garden > Fireplaces,Wall Mount Electric Fireplaces,"best_seller, cabinet-style:Linear, color:Black, Colors:Black, depth:5.89, Flame Type:LED, flame:Traditional, HearthPro, Heat Type:Fan Forced, heating-range:Up to 400 sqft, height:20, installation:Freestanding, installation:Wall, Location:Indoor, Marketplace, material:Metal, model:SP5735, Mounting Type:Surface Mount, mounting-options:Surface Mount, mounting-options:Tabletop Application, popular-searches:Best Seller, Power Source:Plug-In, pr_id:200029, preferred-category:Wall Mount Electric Fireplaces, Room Placement:Countertop, Room Placement:On-Wall, Shape:Linear, Shopping Category:Fireplaces, Shopping Category:Wall Mount Fireplaces, Shopping Depth:5&quot; &amp; Under, Shopping Height:16&quot; - 20&quot;, Shopping Width:31&quot; - 40&quot;, style:Contemporary, Styles:Contemporary, Styles:Modern, Volts:120 Volts, Wall Mount Electric Fireplaces, width:34, wiring:Plug-In",true,Title,Default Title,,,,,'200029,0.0,,0,deny,manual,299.00,,true,true,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/SP5735-Lg1_bf4f92e1-bb8c-427b-95f3-4f81a7265609.jpg?v=1667051586,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
hearthpro-36-in-convex-curved-wall-mount-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_5a15bb09-79b4-437a-88dc-eb68d6d3f311.jpg?v=1667051586,2,,,,,,,,,,,,,,,,,,,,,,,,
modern-flames-26-in-redstone-built-in-electric-fireplace,Modern Flames 26-In Redstone Built-in Electric Fireplace,"The Redstone Series by Modern Flames represents a giant leap in terms of electric fireplaces. This completely revamped, built-in unit offers a new Hybrid-FX flame technology that produces an overall more realistic flame effect with improved flame height and larger vertical viewing area. Each unit comes with both a driftwood log set as well as a crystal ember media kit. This gives you the ability to change the appearance of your fireplace from traditional to contemporary whenever you see fit and with incredible ease. 10 flame colors, as well as RGB up lighting and downlighting make setting the ideal ambiance for your space as easy as the click of a button.<br><br>When additional warmth is needed for the cooler months of the year, simply engage the units fully integrated fan-forced heater for supplemental heat that can fill spaces up to 400 Sq. Ft. in size. Set the thermostat with your desired temperature and let the unit take control and adjust accordingly to maintain the set temperature.<br><br>In terms of installation, the Redstone series can slide into an existing Zero Clearance wood burning fireplace or alternately, you will need 10"" of depth within a wall for a built-in flush mount look. Finish Trim Kits are also included to help create that smooth, finished installation.",Microskey,Home & Garden > Fireplaces,Built-In Electric Fireplaces,"badge:sale, Built-In Electric Fireplaces, cabinet-style:Firebox, color:Black, Colors:Black, depth:9.875, Flame Type:LED, flame:Modern Flames Hybrid-FX, Heat Type:Fan Forced, heating-range:Up to 400 sqft, height:18.875, installation:Fireplace, installation:Wall, Location:Indoor, Marketplace, material:Metal, model:RS-2621, Modern Flames, Mounting Type:Fully Recessed, mounting-options:Fully Recessed, On Sale: Modern Flames Sale - Save 10%, pdp:modern flames-redstone, Plug-In Electric Fireplaces, Power Source:Hard-Wired, Power Source:Plug-In, pr_id:202310, preferred-category:Built-In Electric Fireplaces, product-grouping:Insert, product-grouping:RV, Room Placement:In-Wall, Shape:Square, Shopping Category:Fireplace Inserts, Shopping Category:Fireplaces, Shopping Depth:6&quot; - 10&quot;, Shopping Height:16&quot; - 20&quot;, Shopping Width:21&quot; - 30&quot;, style:Contemporary, style:Traditional, Styles:Contemporary, Styles:Modern, Styles:Traditional, Volts:120 Volts, width:24, Width:26-inch, wiring:Direct-Wire, wiring:Plug-Kit, YGroup_modern flames-redstone",true,Title,Default Title,,,,,'202310,0.0,,0,deny,manual,299.00,,true,true,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/Modern-Flames-RS-2621-MZ.jpg?v=1667051740,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
modern-flames-26-in-redstone-built-in-electric-fireplace,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0667/1479/6314/products/media_4b75ae29-f362-4cc5-8c53-45117681754a.jpg?v=1667051740,2,,,,,,,,,,,,,,,,,,,,,,,,
